Levier,Levier_court,Chantier associé,Leviers territoriaux,Com sur le levier territorial,Objectif du levier,Commentaires,Sources de l'objectif,Δ GES 2030,Δ GES 2040,Δ GES 2050
Développement des cultures intermédiaires,Cultures interméd.,Se nourrir / Réduire la dépendance aux intrants des cultures,true,"sous le levier ""pratiques stockantes"" qui englobe toutes les pratiques stockantes hors haies et prairies","développement des cultures intermédiaires, dont les engrais verts (1,8 Mha d’engrais verts en 2030 et 4,3 Mha en 2050 contre 1 Mha en 2020, cf. partie « Stockage de carbone dans les sols ») ;","SNBC 3 
    -	développer les cultures intermédiaires , dont les engrais verts (1,8 Mha
  d’engrais verts en 2030 et 4,3 Mha en 2050 contre 1 Mha en 2020, cf. partie «
  Stockage de carbone dans les sols ») ;",3e stratégie nationale bas-carbone (provisoire),,,
Optimisation de la gestion de l'azote,Optimisation azote,Se nourrir / Réduire la dépendance aux intrants des cultures,false,,Réduction du surplus azoté de 46 kgN/ha en 2020 à 36 kgN/ha en 2030 et 22 kgN/ha en 2050,SNBC 3 - Hypothèses AMS - Surplus azoté (kgN/ha),3e stratégie nationale bas-carbone (provisoire),,,
Réduction de l'usage et des risques des produits phytopharmaceutiques,Réduction phyto.,Se nourrir / Réduire la dépendance aux intrants des cultures,true,,Baisse de 50% de l'usage des produits phytosanitaires par rapport à 2011-2013 (selon l'indicateur HRI-1),"SNB 2030
    réduction des usages de produits phytosanitaires d’ici 2030",Stratégie nationale biodiversité 2030,,,
Développement des systèmes agroécologiques,Systèmes agroécolo.,Se nourrir / Réduire la dépendance aux intrants des cultures,true,"Pas un levier en tant que tel mais englobé par le levier ""agriculture bio et de HVE"" / ou ""pratiques stockantes"" selon les cas","21% de la surface en agriculture biologique (10 % en 2023) en 2030, 25 % en 2050","SNBC 3 :
Développer les systèmes agroécologiques sur environ 36 % des surfaces en 2030 et 50 % en 2050, par rapport à 7,8 % en 2020. En particulier, développer l’agriculture biologique sur environ 21 % des surfaces en 2030 et 25 % en 2050, par rapport à 5,8 % en 2020.
Déployer les techniques d’agriculture de précision sur 15 % de surfaces supplémentaires en 2030 et 25 % en 2050, par rapport à 5,8 % en 2020

SNB 2030
21 % de la SAU en agri bio en 2030",Stratégie nationale biodiversité 2030,,,
Amélioration de l'autonomie protéique des élevages,Autonomie protéique,Se nourrir / Développer des pratiques d'élevage durable,true,"Sous ""élevage durable""",Réduire de 50 % les importations de soja en 2030 et poursuivre ces réductions à horizon 2050,"SNBC 3
  
    Réduire de 50 % les importations de soja à horizon 2030 par rapport à
  2020.
    Atteinte de l'autonomie protéique nationale en 2050.",3e stratégie nationale bas-carbone (provisoire),,,
Valorisation des effluents d'élevage,Effluents élevage,Se nourrir / Développer des pratiques d'élevage durable,true,"Sous ""élevage durable""",Part des déjections animales mobilisables méthanisées de 22 % en 2030 et 80 % en 2050 ,"SNBC 3
Maintien de la valeur fertilisante des effluents en limitant les fuites d’azote (généralisation des couvertures de fosses à lisiers, amélioration des pratiques d’épandage (voir partie « cultures »)) et méthanisation des effluents (part croissante des déjections animales mobilisables méthanisées pour atteindre 22 % en 2030 et 80 % en 2050 ",3e stratégie nationale bas-carbone (provisoire),,,
Réduction complémentaire des émissions liées à la fermentation entérique,Autre élevage,Se nourrir / Développer des pratiques d'élevage durable,true,"Sous ""élevage durable""","25 % des bovins bénéficient d’ajustements de leurs rations en 2030 lors des périodes en bâtiment (contre une proportion proche de 0 % en 2020), environ 80 % du cheptel en 2050","SNBC
  3 
    25 % des bovins bénéficient d’ajustements de leurs rations en 2030 lors des
  périodes en bâtiment (contre une proportion proche de 0 % en 2020), afin de
  limiter la fermentation entérique (-14 % d’émissions pour l’ajout de 3,5 % de
  lipides dans la ration, par exemple avec des apports de graines de lin ). En
  2050, environ 80 % du cheptel est concerné par l’ajout d’additifs dans les
  rations lors des périodes en bâtiment, permettant une réduction globale
  annuelle additionnelle de 5 % de la fermentation entérique par tête.
    -	Orienter la sélection génétique pour réduire les émissions de méthane, de
  manière à réduire de 5% supplémentaires les émissions de la fermentation
  entérique par tête en 2050.",3e stratégie nationale bas-carbone (provisoire),,,
Optimisation de la gestion des élevages,Optim. troupeaux,Se nourrir / Développer des pratiques d'élevage durable,true,"Sous ""élevage durable""",Réduction des émissions par tête de 5 % par l'optimisation des troupeaux,"SNBC 3 
    Adaptation de la conduite du troupeau , ce qui permet de gagner en
  productivité et donc de réduire les émissions par tête de 5 %.",3e stratégie nationale bas-carbone (provisoire),,,
Décarbonation des engins agricoles,Décarb. énergie,Se nourrir / Décarboner les bâtiments et machines agricoles,true,"Sous un seul levier ""batiment et machines agricoles""","Augmentation de la part d’engins agricoles fonctionnant avec des énergies non-fossiles (HVO100, électricité, H2, BioGNV) d’environ 0 % à 10 % du parc entre 2020 et 2030, avant d’atteindre progressivement 100 % en 2050. ","SNBC
  3
    Décarbonation des engins agricoles : la part d’engins agricoles
  fonctionnant avec des énergies non-fossiles (HVO100, électricité, H2, BioGNV)
  passe d’environ 0 % à 10 % du parc entre 2020 et 2030, avant d’atteindre
  progressivement 100 % en 2050. 
    ",3e stratégie nationale bas-carbone (provisoire),,,
Efficacité énergétique des bâtiments et machines agricoles,Efficacité agricole,Se nourrir / Décarboner les bâtiments et machines agricoles,true,"Sous un seul levier ""batiment et machines agricoles""","Baisse de la consommation d'énergie de 54 TWh en 2023 à 50 TWh en 2030, 40 TWh en 2040 et 31 TWh en 2050",,3e stratégie nationale bas-carbone (provisoire),,,
"Développement des pratiques stockantes (cultures intermédiaires, agriculture de conservation des sols)",Pratiques stockantes,Se nourrir / Développer les services environnementaux rendus par le secteur agricole,true,,"Hausse de 60 % de la surface de cultures intermédiaires par rapport à 2020
la part des cultures intermédiaires à vocation énergétique (CIVE) au sein des cultures intermédiaires progresse, d’environ 4 % en 2020 à 19 % en 2030, avant d’atteindre 30 % en 2050. ","SNBC
  3
    Développement des cultures intermédiaires à vocation énergétique, pièges à
  nitrates et engrais verts (4,8 Mha en 2030 et 8,7 Mha en 2050 contre environ
  2,9 Mha en 2020) ;
    la part des cultures intermédiaires à vocation énergétique (CIVE) au sein
  des cultures intermédiaires progresse, d’environ 4 % en 2020 à 19 % en 2030,
  avant d’atteindre 30 % en 2050. 
    La production de biométhane issue des CIVE atteint 17 TWh PCS en 2030 et
  environ 49 TWh PCS en 2050. 
    Développer les pratiques visant à préserver la structure du sol, comme le
  semis direct : atteinte de 1,9 Mha en 2030 et 4,3 Mha en 2050 contre 0,4 Mha
  en 2020.","3e stratégie nationale bas-carbone (provisoire), Stratégie nationale biodiversité 2030",,,
Augmentation du pâturage,Paturage,Se nourrir / Développer des pratiques d'élevage durable,true,"Sous le levier ""prairies""","La part des élevages bovins lait en système de pâturage dominant passe de 28 % en 2020 à 45 % en 2030, puis 64 % en 2050 ; les poulets label rouge et agriculture biologique (AB) évoluent de 32 % en 2020 à 39% en 2030, puis 60 % en 2050 ; les porcs label rouge et AB évoluent de 4 % en 2020 à 7 % en 2030 et 16 % en 2050.

Maintenir les prairies permanentes productives à hauteur d'environ 7150 kha de 2020 à 2050","SNBC 3 
    La part des élevages bovins lait en système de pâturage dominant passe de
  28 % en 2020 à 45 % en 2030, puis 64 % en 2050 ; les poulets label rouge et
  agriculture biologique (AB) évoluent de 32 % en 2020 à 39% en 2030, puis 60 %
  en 2050 ; les porcs label rouge et AB évoluent de 4 % en 2020 à 7 % en 2030
  et 16 % en 2050.
    SNBC 3 run2 :
    Passage de 9,6 Mha (2020) de prairies permanentes à 9,3 Mha en 2030 et 8,6
  Mha en 2050, contre 50 kha retournés annuellement actuellement",3e stratégie nationale bas-carbone (provisoire),,,
Développement de l'agroforesterie intraparcellaire,Agroforesterie,Se nourrir / Développer les services environnementaux rendus par le secteur agricole,true,"Sous 'pratiques stockantes""","Atteindre 100 kha en 2030 et 300 kha en 2050, également répartis entre prairies et terres arables","SNBC 3
    développer l’agroforesterie intraparcellaire, en augmentant
  significativement les surfaces d’ici 2030 pour atteindre 100 kha en 2030 et
  300 kha en 2050",3e stratégie nationale bas-carbone (provisoire),,,
Développement des haies,Haies,Se nourrir / Développer les services environnementaux rendus par le secteur agricole,true,,+50 000 kml nets de haies plantées entre 2020 et 2030 (soit 800 000 km de haies) avant de poursuivre le rythme pour atteindre +100 000 kml nets de haies plantées entre 2030 et 2050,"SNBC 3
    +50 000 kml nets de haies plantées entre 2020 et 2030, avant de poursuivre
  le rythme pour atteindre +100 000 kml nets de haies plantées entre 2030 et
  2050 ;
    
    SNB 2030
    gain net d’au moins 50 000 km de haies d’ici 2030","3e stratégie nationale bas-carbone (provisoire), Stratégie nationale biodiversité 2030",,,
Gestion des écoulements dans les sols agricoles,Ecoulements agri.,Se loger / Généraliser la prévention des risques naturels dus au changement climatique,true,,,,,,,
Adaptation des filières agricoles,Adaptation agri.,Se nourrir / Réduire la dépendance aux intrants des cultures,true,,,,,,,
Développement de la pêche durable,Pêche durable,Se nourrir / Développer des filières aquacole et halieutique durables,true,,Etat des stocks de ressources halieutiques  : 100% en bon état d'ici 2030,,Stratégie nationale biodiversité 2030,,,
Développement de l'aquaculture durable,Aquaculture durable,Se nourrir / Développer des filières aquacole et halieutique durables,true,,Production de 1000 tonnes par an d'ici 2030,,Stratégie nationale biodiversité 2030,,,
Restauration collective,Restau. collective,Se nourrir / Développer des pratiques alimentaires saines et durables,true,"un seul levier ""Egalim""","50 % de produits de qualité, durables dont 20% de bio, dans la restauration collective",,"""Stratégie nationale pour l’alimentation, la nutrition et le climat 2025/2030"", 3e stratégie nationale bas-carbone (provisoire)",,,
"Évolution du régime alimentaire (viande, saisonnalité, etc.)",Régime alim.,Se nourrir / Développer des pratiques alimentaires saines et durables,false,,"Augmenter la consommation par personne de fruits et légumes : +10 % à horizon 2030 et +23 % à horizon 2050, par rapport à 2020.
Multiplication par 2 de la consommation de légumineuses à horizon 2030 et par 3,7 à horizon 2050 (par rapport à 2020).","SNBC 3 :
  
    Augmentation de la consommation de fruits et légumes (+10 % à horizon 2030
  et +23 % à horizon 2050, par rapport à 2020) et de légumineuses
  (multiplication par deux à horizon 2030 et par quatre à horizon 2050), ainsi
  que de céréales complètes. Limitation de la consommation de viandes et de
  charcuterie en particulier importées, par une évolution progressive vers des
  régimes alimentaires conformes aux repères nutritionnels du Programme
  national nutrition santé (PNNS). ","""Stratégie nationale pour l’alimentation, la nutrition et le climat 2025/2030"", 3e stratégie nationale bas-carbone (provisoire)",,,
Consommation de produits issus de l'agriculture biologique,Conso. produits bio.,Se nourrir / Développer des pratiques alimentaires saines et durables,true,"un seul levier ""Egalim""",Viser une cible de 12 % de consommation de produits bio en valeur et en moyenne pour l’ensemble de la population sur l’ensemble des circuits de consommation ,,"""Stratégie nationale pour l’alimentation, la nutrition et le climat 2025/2030""",,,
Réduction du gaspillage alimentaire,Gaspillage alim.,Se nourrir / Développer des pratiques alimentaires saines et durables,true,"un seul levier ""Egalim""","Réduire les déchets alimentaires de 30% (distribution, restauration et ménages) et de 10% (industrie agroalimentaire) d’ici 2030, par rapport à la moyenne 2021-2023","Loi
  AGEC - article 11
    Réduire le gaspillage alimentaire, d'ici 2025, de 50 % par rapport à son
  niveau de 2015 dans les domaines de la distribution alimentaire et de la
  restauration collective et, d'ici 2030, de 50 % par rapport à son niveau de
  2015 dans les domaines de la consommation, de la production, de la
  transformation et de la restauration commerciale.
    SNBC3
    Réduire les déchets alimentaires de 30% (distribution, restauration et
  ménages) et de 10% (industrie agroalimentaire) d’ici 2030, par rapport à la
  moyenne 2021-2023""","Loi anti-gaspillage pour une économie circulaire, 3e stratégie nationale bas-carbone (provisoire)",,,
Amélioration du suivi de l'état et de la gestion des forêts,Gestion forêts,Préserver / Redonner à la forêt sa capacité de stockage de carbone,true,"un seul levier ""gestion des forêts""",60 % des forêts dotées d'un DGD,"Stratégie
  nationale biodiversité 2030 :
    60 % des forêts dotées d'un DGD d'ici 2030
    100% de forêts subnaturelles avérées sous protection forte (Action
  2.22.3)
    Arbres plantés avec des essences adaptées au climat futur [Nb] : 1 milliard
  d’arbres d’ici 2030",Stratégie nationale biodiversité 2030,,,
Accroissement des surfaces forestières,Surface forêts,Préserver / Redonner à la forêt sa capacité de stockage de carbone,true,"un seul levier ""gestion des forêts""","Augmenter le rythme annuel de boisement hors forêt de 100 ha/an en 2021 à 20 000 ha/an en 2030, et ce jusqu’en 2039. Celui-ci baisse ensuite jusqu’à 15 000 ha/an en 2050.","SNBC
  3
    le rythme annuel de boisement hors forêt augmente de 100 ha/an en 2021 à 20
  000 ha/an en 2030, et ce jusqu’en 2039. Celui-ci baisse ensuite jusqu’à 15
  000 ha/an en 2050. 
    Les émissions liées au déboisement passent de 16 Mt CO2e/an aujourd’hui à 7
  Mt CO2e/an en 2030 et 3 Mt CO2e/an en 2050. ",3e stratégie nationale bas-carbone (provisoire),,,
Développement des produits bois,Produits bois,Préserver / Redonner à la forêt sa capacité de stockage de carbone,true,,"Augmentation de la récolte de bois à vocation énergétique, de 21,7 Mm3 en 2020 à 26,2 Mm3 en 2030 (+19 %), puis baisse à 22,1 Mm3 en 2040 (+37 %) et 18 Mm3 en 2050 (+ 54 %)","SNBC 3 - hypothèses AMS, Evolution de la récolte (Mm3)",3e stratégie nationale bas-carbone (provisoire),,,
Réduction des prélèvements de l'industrie de l'énergie,Eau énergie,Préserver / Réduire les prélèvements d'eau douce,false,,"Baisse de 12,6 % des prélèvements des 55 sites les plus consommateurs à horizon 2030",Plan Eau : 55 sites industriels engagés pour une sobriété hydrique,Plan d’action pour une gestion résiliente et concertée de l’eau,,,
Maîtrise des besoins d'irrigation,Eau agriculture,Préserver / Réduire les prélèvements d'eau douce,true,,,Hypothèses techniques du plan eau 2023 : Stabilité des prélèvements pour l'irrigation entre la moyenne 2018-2020 et 2030,Plan d’action pour une gestion résiliente et concertée de l’eau,,,
Déploiement des solutions d'économie d'eau dans le résidentiel et le tertiaire,Eau résident. et tert.,Préserver / Réduire les prélèvements d'eau douce,false,"""sobriété eau""",,,,,,
Protection des zones de captage d’eau,Protection captages,Préserver / Sécuriser l'alimentation en eau potable,true,,"Identification et dotation d'un PGSSE de tous les points de captage sensibles (définition nationale à venir) avant 2027
Prévenir toute nouvelle dégradation de la qualité des eaux brutes des captages par la mise en place de mesure de gestion  ","Plan eau
Directive (UE) 2020/2184 du Parlement européen et du Conseil du 16 décembre 2020 relative à la qualité des eaux destinées à la consommation humaine",Plan d’action pour une gestion résiliente et concertée de l’eau,,,
Réduction des pertes d'eau du réseau de distribution d'eau potable,Efficacité distrib. eau,Préserver / Sécuriser l'alimentation en eau potable,true,"""sobriété eau""",Rendement de 85% du réseau de distribution d'eau potable,Décret n° 2012-97 du 27 janvier 2012 relatif à la définition d'un descriptif détaillé des réseaux des services publics de l'eau et de l'assainissement et d'un plan d'actions pour la réduction des pertes d'eau du réseau de distribution d'eau potable,,,,
Mobilisation des ressources dans les ouvrages existants,Mobilisation eau,Préserver / Mieux mobiliser la ressource en eau pour tous les usages,true,"""sobriété eau""",,,,,,
Développement d'ouvrages de stockage dans le respect des équilibres des usages et des écosystèmes,Ouvrages stockage,Préserver / Mieux mobiliser la ressource en eau pour tous les usages,true,,,"Plan eau 2023
Doctrine de l'Etat sur les ouvrages de stockage hydraulique à usage principalement agricole",,,,
Valorisation des eaux non conventionnelles,REUT,Préserver / Mieux mobiliser la ressource en eau pour tous les usages,true,,Multiplier par dix le volume d'eau usée traitée réutilisée pour d'autres usages d'ici 2030 ,,Plan d’action pour une gestion résiliente et concertée de l’eau,,,
Mobilisation des surfaces déjà artificialisées,Densification bâti,Préserver / Lutter contre l'artificialisation nette des sols,true,"sous ""sobriété foncière""",,60 % des logements construits sur du foncier déjà artificialisé (à définir),,,,
Réduction de la vacance,Vacance,Préserver / Lutter contre l'artificialisation nette des sols,true,"sous ""sobriété foncière""",,,,,,
Densification de la construction neuve,Densif. construction,Préserver / Lutter contre l'artificialisation nette des sols,true,"sous ""sobriété foncière""",,,,,,
"Désartificialisation, désimperméabilisation des sols artificialisés et amélioration de l'infiltration de l'eau dans les sols",Désartificialisation,Préserver / Lutter contre l'artificialisation nette des sols,true,,,,,,,
Développement d'un réseau d'aires protégées cohérent et résilient aux changements globaux,Aires protégées,Préserver / Développer et gérer les aires protégées,true,"""aires protégées""","Protéger au moins 30 % de l'ensemble du territoire national et des espaces maritimes sous souveraineté ou juridiction française par un réseau d'aires protégées cohérent, résilient, efficace et pérenne (+ 100% des récifs coraliens protégés, 60% des mangroves, herbiers de posidonie)",,Stratégie nationale biodiversité 2030,,,
Développement d'un réseau de zones de  protection forte qui intègre la diversité des milieux prioritaires et leurs fonctionnalités,Protection forte,Préserver / Développer et gérer les aires protégées,true,"""aires protégées""","Mettre sous protection forte au moins 10% de  l'ensemble du territoire national et des espaces maritimes sous souveraineté ou sous juridiction française. 
+ 100% des forêts subnaturelles sous PF d'ici 2030
+100% des glaciers et EPG sous PF d'ici 2030
+ :  cibles UNOC sur fonds marins de 4% des eaux hexagonales en protection forte d'ici fin 2026 avec interdiction de toutes les activités humaines ayant un impact sensible sur les fonds marins (arts trainants de fond, extraction de granulats, extraction d'hydrocarbures etc..), herbiers de posidonie : 100% en PF d'ici 2030 (action 2 SNB), récifs coralliens: 50% en PF d'ici 2030 (action 7 SNB)",,Stratégie nationale biodiversité 2030,,,
"Amélioration de l'efficacité de la gestion des aires protégées, accompagner des activités durables dans les aires protégées et faire des aires protégées intégrées dans les territoires",Gestion aires,Préserver / Développer et gérer les aires protégées,false,,65 % des mangroves faisant l'objet de mesures de conservation en 2030,,Stratégie nationale biodiversité 2030,,,
Résorption des points noirs prioritaires de continuité écologique terrestre,Continuité écologique,Préserver / Restaurer les écosystèmes dégradés,true,,Identification et résorption de 100 % des points noirs prioritaires (définition nationale à venir) d'ici 2030,,Stratégie nationale biodiversité 2030,,,
Réduction des obstacles à l'écoulement,Obstacles écoulement,Préserver / Restaurer les écosystèmes dégradés,false,,"5000 ouvrages de restauration de l'hydromorphologie de la continuité écologique des cours d'eau restaurés d'ici 2027
Contribuer à l'objectif de l'UE de 25 000 km de rivière à écoulement libre en 2030 (à définir)",,Stratégie nationale biodiversité 2030,,,
Restauration des zones humides (dont tourbières),Zones humides,Préserver / Restaurer les écosystèmes dégradés,true,,"50 000 ha de zones humides restaurées dès 2026
Cible pour les sols organiques drainés : 30%, 40%, 50% des surfaces tourbières drainées d'usage agricole restaurées avec 1/4, 1/3, 1/3 remise en eau en 2030-40-50 (contribution potentielle autres usages)",,Stratégie nationale biodiversité 2030,,,
Restauration des habitats d'intérêt communautaire,Restau. hab. d'int.,Préserver / Restaurer les écosystèmes dégradés,true,"""restauration des espaces naturels""",Restaurer 30 % des écosystèmes d'intérêt communautaire terrestres et des habitats marins ciblés par le règlement Restauration de la Nature dégradés d’ici à 2030,,Plan national Agir pour restaurer la nature,,,
Rétablissement de la surface des habitats d'intérêt communautaire pour atteindre la surface de référence favorable,Surface. hab. d'int.,Préserver / Restaurer les écosystèmes dégradés,true,"""restauration des espaces naturels""",Au moins 30% de la surface manquante pour atteindre la Surface de Référence Favorable en 2030 (60% et 100% en 2040 et 2050),,Plan national Agir pour restaurer la nature,,,
Protection des espèces menacées,Espèces menacées,Préserver / Restaurer les écosystèmes dégradés,false,,750 espèces visées par un plan national d'action en vigueur d'ici 2030,,Stratégie nationale biodiversité 2030,,,
Limitation de l'introduction et lutter contre les espèces exotiques envahissantes,Esp. exo. envahi.,"Préserver / Réduire les autres pressions sur la biodiversité (pollution lumineuse, EEE)",true,,Baisse de 50 % du taux d’introductions d’espèces exotiques envahissantes d'ici 2030 par rapport à 2020,,Stratégie nationale biodiversité 2030,,,
Lutte contre la pollution lumineuse,Pollution lumineuse,"Préserver / Réduire les autres pressions sur la biodiversité (pollution lumineuse, EEE)",false,,"Réduire à 42,5 % en 2030 contre 85 % en 2021 la part du territoire impacté par la pollution lumineuse",,Stratégie nationale biodiversité 2030,,,
Prévention des inondations,Prév. inondations,Se loger / Généraliser la prévention des risques naturels dus au changement climatique,true,,,,Plan national d'adaptation au changement climatique 2024,,,
Renaturation des villes et réduction de l'effet d'îlot de chaleur urbain,Renaturation,Se loger / Généraliser la prévention des risques naturels dus au changement climatique,true,,1000 ha renaturés par an à partir de 2022 sur financement de l'Etat (fonds vert),,Stratégie nationale biodiversité 2030,,,
Protection et mise à l'abri des personnes vulnérables,Pers. vulnérables,Se loger / Généraliser la prévention des risques naturels dus au changement climatique,true,,,,Plan national d'adaptation au changement climatique 2024,,,
Prévention des dégâts causés par le retrait-gonflement des argiles,RGA,Se loger / Adapter l'aménagement du territoire aux conséquences structurelles du changement climatique,true,,,,Plan national d'adaptation au changement climatique 2024,,,
Intégration de l’élévation du niveau des mers dans l’aménagement du littoral,Recul trait de cote,Se loger / Adapter l'aménagement du territoire aux conséquences structurelles du changement climatique,true,,100% des communes du décret-liste ayant intégré la carte locale d’exposition au recul du trait de côte dans leur document d’urbanisme,,Plan national d'adaptation au changement climatique 2024,,,
Conditionnement du développement urbain et économique à la ressource en eau,Condition. dév. urb.,Se loger / Adapter l'aménagement du territoire aux conséquences structurelles du changement climatique,true,,,,Plan national d'adaptation au changement climatique 2024,,,
Renforcement de la résilience des services de santé,Services de santé,Produire / Sécuriser la continuité des services essentiels,true,,,,Plan national d'adaptation au changement climatique 2024,,,
Préparation des services de secours,Services de secours,Produire / Sécuriser la continuité des services essentiels,true,,,,Plan national d'adaptation au changement climatique 2024,,,
Résilience des services de communication,Services de com.,Produire / Sécuriser la continuité des services essentiels,true,,,,Plan national d'adaptation au changement climatique 2024,,,
Réduction de la vulnérabilité des infrastructures et services de transport,Infra. transport,Produire / Sécuriser la continuité des services essentiels,true,,,,Plan national d'adaptation au changement climatique 2024,,,
Confort thermique des transports collectifs et des mobilités actives,Confort transport,Produire / Sécuriser la continuité des services essentiels,true,,,,Plan national d'adaptation au changement climatique 2024,,,
Réduction de la vulnérabilité du système énergétique au changement climatique,Système énergétique,Produire / Sécuriser la continuité des services essentiels,true,,,,Plan national d'adaptation au changement climatique 2024,,,
Evolution de l’offre touristique de montagne,Tourisme montagne,Produire / Anticiper les impacts socio-économiques chroniques du changement climatique,true,,100% des massifs de montagne ayant adopté un plan d'adaptation,,Plan national d'adaptation au changement climatique 2024,,,
Evolution de l’offre touristique littorale,Tourisme littoral,Produire / Anticiper les impacts socio-économiques chroniques du changement climatique,true,,,,Plan national d'adaptation au changement climatique 2024,,,
Continuité des activités économiques,Continuité économique,Produire / Anticiper les impacts socio-économiques chroniques du changement climatique,true,,,,Plan national d'adaptation au changement climatique 2024,,,
Préservation des sites culturels et patrimoniaux,Sites patrimoniaux,Produire / Anticiper les impacts socio-économiques chroniques du changement climatique,true,,,,Plan national d'adaptation au changement climatique 2024,,,
